all(8786)
50_1_512_1_32：{mse: 0.01609728966996789, mae: 0.09918495014872922}
50_1_512_1_64_adam: {mse: 0.012561853547844943, mae: 0.08993644931079949}
100_1_512_1_32: {mse: 0.027944189933319135, mae: 0.1377157095225004}
100_1_512_1_32_adam: {mse: 0.012444083915364288, mae: 0.08978358474668961}
100_1_512_1_64_adam: {mse: 0.009444432337833708, mae: 0.07973310060643204}

1000
50_1_512_1_32_adam: {mse: 0.030911556742885524, mae: 0.15146720792139381}
50_1_512_1_64_adam: {mse: 0.021421050658799852, mae: 0.12771387403744433}
100_1_512_1_32: {mse: 0.044488105288397674, mae: 0.17498573833010378}
100_1_512_1_32_adam: {mse: 0.019064782635988625, mae: 0.1198387240746239}
100_1_512_1_64_adam: {mse: 0.01405506825806789, mae: 0.10262672223963823}
