timestamp,front-end,carts,orders
2022-06-05-10-40-36,45393.14714285986,37339.861500906685,5228.712588885293
2022-06-05-10-41-36,47165.528571428564,47430.53956760437,6986.151492538327
2022-06-05-10-42-36,47326.14619047527,74447.0803013291,10690.030952380954
2022-06-05-10-43-36,46744.30952380952,61194.88857142733,10207.50238095238
2022-06-05-10-44-36,44853.94142857052,47206.894285714174,7853.806666666666
2022-06-05-10-45-36,46981.57571428844,57425.90666666746,9929.873333333335
2022-06-05-10-46-36,47098.70190476463,54668.173323609124,8539.688095238094
2022-06-05-10-47-36,44760.583809525626,59525.98964699317,8510.463809523808
2022-06-05-10-48-36,46448.64585319171,43101.539165645794,6180.751970584231
2022-06-05-10-49-36,46080.12857142857,66113.97095237965,9226.782857142858
2022-06-05-10-50-36,47847.05047619229,87770.48476190449,12837.863809523808
2022-06-05-10-51-36,49610.2195238068,67358.40761904803,10058.511904761903
2022-06-05-10-52-36,45026.05288745686,55450.151871560105,7801.754680114138
2022-06-05-10-53-36,46315.754285712464,57205.87677020353,7826.834884180955
2022-06-05-10-54-36,47155.72476190839,72411.06333333306,11144.516666666666
2022-06-05-10-55-36,46823.469999999084,54025.78190476174,8595.229999999998
2022-06-05-10-56-36,46355.66761905125,56972.754285714516,8062.919523809524
2022-06-05-10-57-36,46239.829523813154,55871.44761904784,7628.944285714287
2022-06-05-10-58-36,47389.82999999636,51963.16476190471,7298.897619047618
2022-06-05-10-59-36,46586.333809525626,50243.529999999606,8028.030952380951
2022-06-05-11-00-36,46601.18761905034,39312.702197149,6448.494234314393
2022-06-05-11-01-36,45695.98380952109,40449.59595015748,5689.619689326935
2022-06-05-11-02-36,46681.08476190113,55135.188095237696,8047.254285714285
2022-06-05-11-03-36,46772.573333331515,45563.54333333436,7119.84
2022-06-05-11-04-36,45020.2366666703,23969.595721995378,4314.438536713671
2022-06-05-11-05-36,45331.45142857233,36799.02523809558,5098.839999999999
2022-06-05-11-06-36,46554.09190475827,48429.06380952331,5818.1261904761905
2022-06-05-11-07-36,45430.01857143129,26184.16992061994,3583.54616055882
2022-06-05-11-08-36,45121.17904761633,31807.499523809263,5679.392857142856
2022-06-05-11-09-36,45424.834761905666,39992.896666665656,6143.407142857143
